track_name,artist_name,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Show Me A Leader,Alter Bridge,6sH3bAoqJZEOqGsp6Uch3u,0.223,0.966,-4.117,0.105,2.55e-05,2.84e-05,0.0565,0.171,132.063,4
The Eagle Has Landed,Avatar,1mT7QoZBr3OWiqZPiYVSwd,0.456,0.942,-6.513,0.0672,0.000745,0.00162,0.304,0.319,170.217,4
Brazil,Declan McKenna,4sNG6zQBmtq7M8aeeKJRMQ,0.687,0.617,-5.213,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,4
Circadian Rhythm (Last Dance),Silversun Pickups,127qrKbnyZCYnn158P80op,0.693,0.586,-7.418,0.0324,0.0667,0.0133,0.362,0.459,127.967,4
Gone,JR JR,3mxMrdo3fJjDbb64nagoXR,0.62,0.892,-3.664,0.0531,0.054,0.000687,0.207,0.418,129.96,4
King Of The World,Weezer,5vBuxtwitUimHR2gBOnJYR,0.433,0.879,-5.395,0.067,0.0168,0.0,0.0688,0.536,79.982,4
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,4
Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,4
Heathens,twenty one pilots,6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4
Wish I Knew You,The Revivalists,2EWpa5XnAuSn0sIkSSIhYk,0.649,0.718,-6.593,0.0261,0.142,0.0713,0.124,0.718,101.034,4
Feels Like Summer,Weezer,2jz1bw1p0WQj0PDnVDP0uY,0.53,0.867,-4.989,0.0504,0.02,0.000248,0.737,0.74,175.981,4
The Man,The Killers,5aWhs651KYM26HYM16kRdk,0.606,0.942,-2.598,0.115,0.0737,2.23e-06,0.0709,0.519,106.02,4
High,Sir Sly,17aDyX39gb1iV1ZWvD1ffE,0.743,0.733,-5.576,0.0352,0.00705,0.00753,0.0565,0.726,122.975,4
Whatever It Takes,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,-5.021,0.0311,0.0362,0.0,0.117,0.556,134.945,4
Broken,lovelytheband,6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,-5.808,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,4
Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd,0.678,0.357,-14.712,0.128,0.675,0.00569,0.124,0.0661,113.301,5
Angela,The Lumineers,5bodDpPolC3xlame0SVcDY,0.668,0.563,-8.23,0.0305,0.649,0.000347,0.11,0.289,130.366,4
Run,Foo Fighters,1wLQwg0mloy3yXjL0jPE0N,0.365,0.892,-8.036,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,4
Green Light,Lorde,6ie2Bw3xLj2JcGowOlcMhb,0.594,0.721,-7.812,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,4
Ride,twenty one pilots,2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,4
The Night We Met,Lord Huron,0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,-9.51,0.0378,0.969,0.267,0.641,0.1,86.997,3
The Sky Is A Neighborhood,Foo Fighters,3kdMzXOcrDIdSWLdONHNK5,0.357,0.549,-7.843,0.0698,0.000798,0.00485,0.22,0.531,130.749,4
Love Is Mystical,Cold War Kids,12pdXFcruNcPUbZypKUDgz,0.567,0.863,-5.158,0.037,0.00462,4.77e-05,0.207,0.722,106.03,4
No Roots,Alice Merton,4CdfFYzaAJ0y0beKzmgJSn,0.863,0.657,-7.295,0.105,0.264,0.00619,0.0713,0.829,115.958,4
Sit Next To Me,Foster the People,4BdGO1CaObRD4La9l5Zanz,0.638,0.738,-4.976,0.0292,0.117,0.000384,0.689,0.657,97.021,4
Blame,Bastille,7yrx5A6zDOsd7Bn02WvbLH,0.47,0.749,-3.993,0.0324,0.00101,0.0,0.308,0.346,85.046,4
Hard Times,Paramore,0w5Bdu51Ka25Pf3hojsKHh,0.695,0.818,-5.379,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,4
Lights Out,Royal Blood,1060gzllf4b0UETAXisR5l,0.501,0.824,-7.25,0.0413,0.000127,0.000311,0.0922,0.57,89.972,4
Numb,Linkin Park,2nLtzopw4rPReszdYBJU6h,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,4
Everything Now,Arcade Fire,7KsZHCfOitA5V9oQYVdltG,0.548,0.865,-5.325,0.0302,0.00171,0.000449,0.457,0.61,116.046,4
Dig Down,Muse,0RILico3Gbl5jxSNg3zLrJ,0.428,0.429,-6.06,0.049,0.0879,0.00041,0.168,0.182,127.173,4
Heavydirtysoul,twenty one pilots,7i9763l5SSfOnqZ35VOcfy,0.613,0.873,-6.376,0.0449,0.00397,0.00111,0.367,0.392,129.989,4
Rx (Medicate),Theory of a Deadman,2UZtI2HUyLRzqBjodvcUmY,0.639,0.71,-7.445,0.0275,0.0133,0.0,0.118,0.378,119.989,4
Take It All Back,Judah & The Lion,4bRfMTaUtQn1QvowPx47ZD,0.424,0.826,-9.139,0.166,0.00874,3.35e-05,0.333,0.779,149.936,4
Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I,0.389,0.665,-6.169,0.0644,0.178,0.000732,0.116,0.199,117.055,4
Still Breathing,Green Day,19YmvsVCetCBeVj6O2mljR,0.54,0.902,-3.577,0.0442,0.0142,0.0,0.0756,0.692,75.033,4
Cold Cold Cold,Cage the Elephant,1Q3t9fWvHUXKsMmpD2XpUu,0.549,0.789,-6.071,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,4
The Violence,Rise Against,12C6ufD5zOWsQGHQY7aXRM,0.294,0.92,-2.471,0.0635,4.11e-05,0.000232,0.0804,0.582,184.007,4
HandClap,Fitz And The Tantrums,4qRaZYiaOsSvWC7VgcxrI0,0.636,0.836,-3.004,0.0427,0.00609,0.000157,0.0828,0.715,139.956,4
I Only Lie When I Love You,Royal Blood,1LbwMX3159t6QxG3u7DRWe,0.65,0.886,-4.821,0.0483,0.00111,0.000129,0.334,0.88,124.013,4
The Way You Used To Do,Queens of the Stone Age,52LL3IFB8N3PaJmoZ8Xii1,0.482,0.843,-5.909,0.288,0.0103,0.103,0.362,0.433,97.907,4
Way Down We Go,Kaleo,0y1QJc3SJVPKJ1OvFmFqe6,0.489,0.505,-8.022,0.117,0.579,0.000333,0.104,0.337,163.255,4
Up All Night,Beck,28AgTOIZke8nitD0NNeb3G,0.635,0.909,-4.796,0.0553,0.00384,0.0852,0.239,0.639,110.005,4
In The End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,4
One More Light,Linkin Park,3xXBsjrbG1xQIm1xv1cKOt,0.593,0.2,-11.063,0.0311,0.904,0.0,0.0897,0.17,83.966,4
Reverend,Kings of Leon,5cm47Nc1MWBVIkRFaXxvHY,0.448,0.815,-5.951,0.0361,0.0867,0.686,0.316,0.217,124.808,4
Middle Fingers,Missio,1RgvTl4vQN4qECtnO1guEp,0.517,0.553,-5.135,0.0329,0.000104,3.7e-06,0.133,0.0775,139.26,4
Cleopatra,The Lumineers,2ToW7zhGCrVrLU4fiKj9U1,0.536,0.775,-6.765,0.0394,0.228,0.000143,0.0947,0.485,151.393,4
Little One,Highly Suspect,5y1jgbDNgTfxoWXv3FhH2Q,0.474,0.351,-7.533,0.0292,0.0122,7.35e-06,0.112,0.104,139.827,3
Help,Papa Roach,6EaGMOSWL2LndwY6gClBaD,0.383,0.9,-5.42,0.134,0.00085,1.94e-06,0.271,0.286,183.96,4
Waste A Moment,Kings Of Leon,5LlsD7LdSMkGV4Iu0a2Zq0,0.436,0.85,-4.86,0.0617,0.000861,0.74,0.128,0.537,152.644,4
Old Church Choir,Zach Williams,4F7GcPH79KzsQfNphjtkGx,0.675,0.814,-5.816,0.0347,0.125,0.0,0.163,0.607,103.989,4
One Foot,Walk the Moon,0iQ77tSa7ncj7zBPtVx6cU,0.582,0.822,-4.861,0.0365,0.00749,2.09e-06,0.818,0.471,100.025,4
Fire Escape,Andrew McMahon In The Wilderness,6uCmU6ldcsVpLAKNCojVg8,0.583,0.862,-4.387,0.0575,0.0468,0.0,0.256,0.422,105.998,4
Champion,Fall Out Boy,1DRUwJSt2YOUUEz965OJ66,0.31,0.905,-4.109,0.253,0.000927,3.1e-05,0.431,0.309,187.796,4
Ahead Of Myself,X Ambassadors,5KrEN8aGZnvS2UU6molPFs,0.587,0.542,-7.876,0.034,0.0014,0.0,0.0906,0.371,89.991,4
In Cold Blood,alt-J,0jeJR3LdrC2QJNviq7wjzp,0.495,0.745,-5.475,0.035,0.142,0.000441,0.194,0.589,143.398,4
Highway Tune,Greta Van Fleet,7aOor99o8NNLZYElOXlBG1,0.582,0.962,-3.037,0.0542,0.0096,0.128,0.283,0.506,123.971,4
One Of Us,New Politics,3zSaWBoojpQGDPO2oIL80H,0.503,0.908,-3.681,0.0598,0.216,0.0,0.366,0.857,200.147,4
Somebody Else,The 1975,5hc71nKsUgtwQ3z52KEKQk,0.61,0.788,-5.724,0.0585,0.195,0.0142,0.153,0.472,101.045,4
Song #3,Stone Sour,5jsDxDkJ1PqyYUWhDMr86B,0.481,0.945,-5.468,0.0813,0.00264,0.0,0.135,0.427,157.059,4
Let You Down,Seether,0bKbN288jXK5tKxnEGK8xL,0.476,0.809,-4.434,0.0327,2.66e-05,0.0797,0.0886,0.558,83.957,4
Live In The Moment,Portugal. The Man,60eOMEt3WNVX1m1jmApmnX,0.546,0.583,-7.317,0.0348,0.002,0.173,0.115,0.235,128.017,4
Lay It On Me,Vance Joy,7oekneJCJO74ycdLzdk16v,0.733,0.663,-5.766,0.0322,0.101,6.98e-06,0.0694,0.53,127.974,4
On Hold,The xx,5w3CRkbTWXfbYepIdFpGUN,0.723,0.669,-6.784,0.0348,0.0522,0.183,0.109,0.349,125.053,4
Love,Lana Del Rey,2Kerz9H9IejzeIpjhDJoYG,0.527,0.366,-10.943,0.0277,0.487,0.0023,0.11,0.234,98.994,4
My Name Is Human,Highly Suspect,1euszbbvkUzQzIhZUWFmXG,0.515,0.698,-5.572,0.0279,5.71e-05,8.64e-05,0.0827,0.194,139.96,4
Darling,Real Estate,36PQh1G6h7n9VWB799fXpI,0.596,0.894,-5.407,0.0265,0.00878,0.00659,0.104,0.572,132.994,5
Love On The Weekend,John Mayer,0oiCeOPwm4zhwfyIpAE37y,0.718,0.583,-7.884,0.0288,0.623,0.000681,0.0612,0.422,119.971,4
Nimble Bastard,Incubus,2uaWEm24SEHUWlCVopjDbh,0.492,0.931,-3.546,0.0539,0.000119,0.0,0.363,0.652,179.994,4
Ophelia,The Lumineers,3d8y0t70g7hw2FOWl9Z4Fm,0.664,0.573,-6.519,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
Go Robot,Red Hot Chili Peppers,5m578MgxuEC956dulprCe8,0.852,0.651,-6.254,0.0411,0.0432,0.0192,0.158,0.96,131.01,4
Chain Breaker,Zach Williams,17GmwQ9Q3MTAz05OokmNNB,0.467,0.715,-5.076,0.0348,0.0231,0.0,0.144,0.367,156.074,4
Big Boys,Chuck Berry,5H10PQhFucQTV7mEyy9UDE,0.559,0.963,-4.257,0.146,0.0515,0.0,0.117,0.709,161.905,4
One Night Only,The Struts,3DRZp9kykKCfnaU1Kd2AWY,0.204,0.897,-2.32,0.0986,0.0128,1.94e-05,0.523,0.317,159.005,4
Revolution Radio,Green Day,3oqYMRKQcwyNmFn1VD2ukD,0.419,0.971,-3.622,0.0909,4.63e-05,1.43e-05,0.171,0.677,180.033,4
Perfect Places,Lorde,7ARveOiD31w2Nq0n5FsSf8,0.622,0.58,-5.273,0.0504,0.00241,2.95e-05,0.112,0.512,104.41,4
Sweet Disaster,Dreamers,7bEDDsy2LFC0KSqhZp5nPE,0.515,0.821,-2.333,0.0309,0.00794,0.0,0.0787,0.425,86.995,4
What I've Done,Linkin Park,18lR4BzEs7e3qzc0KVkTpU,0.623,0.93,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4
Less Than,Nine Inch Nails,7jDKJSjIjT93v7brsZDcoT,0.521,0.934,-3.735,0.0793,0.0456,0.886,0.204,0.238,127.983,4
Passion,Awolnation,4WyDmwmeBdrGgJEQquZfz3,0.653,0.869,-4.622,0.0571,0.0611,0.119,0.187,0.796,137.974,4
Hot Thoughts,Spoon,48yvsxGXnJBxy8nXgGbs4S,0.674,0.86,-5.768,0.0306,0.0508,0.204,0.641,0.463,109.011,4
All The Pretty Girls,Kaleo,0QQIhT6PtJ5glyn4HKNKQ6,0.466,0.496,-6.606,0.0302,0.626,6.22e-06,0.117,0.352,74.747,4
In The Blood,John Mayer,77Y57qRJBvkGCUw9qs0qMg,0.546,0.655,-6.526,0.0255,0.386,1.04e-05,0.0983,0.518,80.007,4
Crawling,Linkin Park,57BrRMwf9LrcmuOsyGilwr,0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4
Run For Cover,The Killers,5NAiPIEzxAexFE3ucV18Q8,0.466,0.951,-3.314,0.125,0.0016,0.00242,0.351,0.499,165.107,4
Alone,I Prevail,6c9xVWbPeVPgrmWTYYeMTr,0.539,0.746,-5.242,0.036,0.00324,5.08e-06,0.085,0.287,118.994,4
Wild Horses,Bishop Briggs,1vHyZsydQf4h2yDhujnqvQ,0.745,0.537,-5.664,0.031,0.225,0.0,0.154,0.203,140.069,4
World Gone Mad,Bastille,1ZyQGXH9dZ4AecevHhKUxi,0.505,0.68,-3.423,0.0336,0.283,0.0,0.175,0.362,139.843,4
Broken,lovelytheband,6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,-5.808,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,4
Thunder,Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,4
Natural,Imagine Dragons,2FY7b99s15jUprqC0M5NCT,0.704,0.611,-6.112,0.0409,0.217,0.0,0.0812,0.22,100.0,4
High Hopes,Panic! at the Disco,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,4
Sit Next To Me,Foster The People,4BdGO1CaObRD4La9l5Zanz,0.638,0.738,-4.976,0.0292,0.117,0.000384,0.689,0.657,97.021,4
Whatever It Takes,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,-5.021,0.0311,0.0362,0.0,0.117,0.556,134.945,4
Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
Say Amen (Saturday Night),Panic! at the Disco,76vMKwFtdDDCLcM6zXybjB,0.491,0.867,-2.313,0.103,0.167,0.0,0.458,0.602,167.965,4
Africa,Weezer,3ZPKocroJIcnHGcnJVlLKD,0.534,0.784,-3.59,0.0339,0.205,0.00579,0.106,0.6,92.147,4
Jumpsuit,twenty one pilots,1E1uGhNdBe6Dddbgs2KqtZ,0.62,0.61,-8.329,0.0373,0.00849,0.162,0.205,0.235,127.052,4
Zombie,Bad Wolves,1vNoA9F5ASnlBISFekDmg3,0.448,0.826,-3.244,0.0319,0.00756,0.0,0.117,0.19,77.093,4
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,4
Burn The House Down,AJR,0TkJIyL69RAUIbNwGub6uR,0.454,0.66,-4.357,0.168,0.0364,0.0,0.181,0.568,184.353,4
Thought Contagion,Muse,57lCa95tmjJ8EYdNTex8Kk,0.48,0.76,-3.663,0.0402,0.00107,2.37e-05,0.0809,0.378,139.985,4
One Foot,Walk The Moon,0iQ77tSa7ncj7zBPtVx6cU,0.582,0.822,-4.861,0.0365,0.00749,2.09e-06,0.818,0.471,100.025,4
Live In The Moment,Portugal. The Man,60eOMEt3WNVX1m1jmApmnX,0.546,0.583,-7.317,0.0348,0.002,0.173,0.115,0.235,128.017,4
My Blood,twenty one pilots,5HeKOKc4phmLn8e4I7EkzD,0.749,0.723,-6.609,0.0432,0.0563,0.022,0.0977,0.674,108.999,4
Guiding Light,Mumford & Sons,4VeCmOb1rAEZQfH7Rlms9C,0.551,0.685,-8.649,0.0421,0.0547,1.18e-05,0.0743,0.289,100.05,4
&Run,Sir Sly,0w4m3Xp4svlIoyL94Zjlyd,0.764,0.661,-8.276,0.0526,0.0203,0.000179,0.179,0.479,92.018,4
No Roots,Alice Merton,4CdfFYzaAJ0y0beKzmgJSn,0.863,0.657,-7.295,0.105,0.264,0.00619,0.0713,0.829,115.958,4
Bulletproof,Godsmack,6w7ily4cFWEPO0XWFQYeUO,0.39,0.91,-3.268,0.133,0.000198,0.0,0.156,0.644,162.253,4
Give Yourself A Try,The 1975,4rmIfFUZhhi9sS5IYtpkXw,0.334,0.786,-5.002,0.0592,3.17e-05,0.0,0.517,0.901,182.933,4
I Feel Like I'm Drowning,Two Feet,3aauaXWRgwCMoykMbI0Jq1,0.717,0.577,-5.436,0.0491,0.708,0.00428,0.0899,0.235,104.927,3
Are You Ready,Disturbed,4zvqMZ6g4wKZaPpOQvoBpP,0.392,0.976,-2.189,0.107,0.000107,0.0,0.271,0.521,199.888,4
Rats,Ghost,4u39IY2QjY1utpNCCF4is0,0.522,0.944,-5.731,0.0936,6.11e-06,0.482,0.135,0.236,124.029,4
S.O.S. (Sawed Off Shotgun),The Glorious Sons,3NyovXfcpc8PDWWKH7xEDs,0.568,0.961,-2.182,0.065,0.00428,0.0,0.138,0.924,148.126,4
Devil,Shinedown,2hEYslbdYWFSIA6JboUvnR,0.354,0.942,-3.245,0.237,0.00039,6.36e-06,0.431,0.242,119.992,4
Kamikaze,Walk The Moon,3YQ96qkxiEwTLwgu2Izcmq,0.575,0.694,-5.674,0.0709,0.0158,0.0,0.108,0.442,77.537,4
All My Friends,The Revivalists,2WgbFkQQswVVEWnyKnFo2q,0.602,0.837,-4.897,0.0408,0.111,3.01e-06,0.58,0.357,90.038,4
Gold Rush,Death Cab for Cutie,6x9VaGUbiSRvkLEdjeqjsN,0.518,0.96,-4.466,0.0504,0.254,0.000233,0.311,0.826,80.43,4
The Mountain,Three Days Grace,5adBpeh1CjHAzlM2i8nYFR,0.492,0.932,-4.689,0.052,0.000572,4.75e-06,0.123,0.33,92.497,4
Walk On Water,Thirty Seconds To Mars,6FT9FZccFD6nE8dMNslz2n,0.495,0.787,-6.89,0.0368,9.16e-05,0.0,0.167,0.388,140.003,4
When The Curtain Falls,Greta Van Fleet,2ZMI0QNoqU9fQZFirR9WpK,0.535,0.975,-2.959,0.0647,0.0297,0.126,0.0482,0.689,96.004,4
She's Kerosene,The Interrupters,60FJeNTK5edr72G2xtCWuP,0.577,0.936,-2.924,0.078,0.043,1.74e-05,0.413,0.899,168.879,4
Get Up,Shinedown,1OKQIvaO7yn7R2BpdUFG7D,0.552,0.935,-4.096,0.0623,0.0174,1.98e-06,0.116,0.38,74.954,4
Saturday Sun,Vance Joy,2RiBogNRfulkNf7fVbPOrJ,0.637,0.864,-4.381,0.0468,0.484,0.0,0.222,0.706,99.995,4
Ghost,Badflower,7w09r53aPON8ZUvEAnPe94,0.505,0.839,-4.966,0.0569,0.0111,0.0,0.211,0.326,139.961,4
Sham Pain,Five Finger Death Punch,1YLxrvfvFivQj7eh3Y5yxA,0.555,0.938,-4.901,0.0533,0.000173,2.69e-06,0.139,0.401,96.504,4
Quarter Past Midnight,Bastille,1etiUDkISHELzQGMY79ryt,0.504,0.821,-3.356,0.0598,0.275,0.0,0.0418,0.458,155.131,4
Up All Night,Beck,28AgTOIZke8nitD0NNeb3G,0.635,0.909,-4.796,0.0553,0.00384,0.0852,0.239,0.639,110.005,4
New Light,John Mayer,4T6FWA703h6H7zk1FoSARw,0.826,0.694,-7.862,0.0315,0.316,0.0285,0.074,0.852,123.932,4
Miracle,Chvrches,2tBepKim58vAVEKlQhLJNP,0.574,0.738,-4.426,0.0316,0.0144,0.0,0.178,0.439,124.004,4
Hunger,Florence + The Machine,6Ju28M6P8Y8sLjBgWjyUUD,0.729,0.675,-5.62,0.0415,0.53,0.0,0.0985,0.332,116.016,4
Red Cold River,Breaking Benjamin,6ZfPmIbwzz6fopTNwAJTPs,0.376,0.967,-3.277,0.166,0.000248,2.64e-06,0.0575,0.226,91.582,4
Get Out,Chvrches,7aFfriQJAyHK6eC09YMQBK,0.487,0.82,-5.427,0.0309,0.00109,0.0428,0.224,0.211,162.034,4
Run For Cover,The Killers,5NAiPIEzxAexFE3ucV18Q8,0.466,0.951,-3.314,0.125,0.0016,0.00242,0.351,0.499,165.107,4
Gone Away,Five Finger Death Punch,57nTFMsSiVATCDPZm9JF4S,0.502,0.737,-7.572,0.0407,0.000374,5.07e-05,0.153,0.277,106.05,4
Good Kisser,Lake Street Dive,7BDbyDs5FUmnh955RABFd7,0.485,0.591,-3.888,0.0453,0.119,0.00278,0.0787,0.636,160.336,4
Handyman,AWOLnation,2o2RDduVgudcGSLrFaV1D0,0.492,0.724,-6.79,0.0332,0.258,0.162,0.255,0.323,84.237,4
When Legends Rise,Godsmack,1Si7crvw1M6Kgz9XiAtMiJ,0.44,0.916,-4.222,0.266,0.000236,1.94e-05,0.0897,0.401,124.099,4
Body Talks,The Struts,6spaGIZEfeDYlgAupMI34k,0.37,0.855,-3.232,0.29,0.00354,0.0,0.372,0.65,185.791,4
Nevermind,Dennis Lloyd,63SevszngYpZOwf63o61K4,0.6,0.688,-8.339,0.201,0.159,1.29e-05,0.409,0.0793,99.977,4
Shotgun,George Ezra,4ofwffwvvnbSkrMSCKQDaC,0.673,0.735,-4.733,0.0457,0.286,0.0,0.242,0.754,115.744,4
House On Fire,Rise Against,4c75xeSteTcgSSxRtsKqOJ,0.427,0.95,-2.187,0.0886,0.00155,0.0,0.459,0.592,169.006,4
Infra-Red,Three Days Grace,6oe2HcrgnNU66Eyq8BY45Z,0.568,0.907,-4.641,0.0488,0.00115,0.0,0.0982,0.337,112.037,4
Mantra,Bring Me the Horizon,060RNnzoMay3wKJek1faPc,0.5,0.817,-3.501,0.0459,0.00054,0.0,0.152,0.599,90.01,4
Rx (Medicate),Theory Of A Deadman,2UZtI2HUyLRzqBjodvcUmY,0.639,0.71,-7.445,0.0275,0.0133,0.0,0.118,0.378,119.989,4
Right Left Wrong,Three Days Grace,7Fma0rICvZeAECL8VoPuUO,0.489,0.833,-5.348,0.054,0.0036,1.33e-06,0.111,0.307,135.431,4
World Gone Mad,Bastille,1ZyQGXH9dZ4AecevHhKUxi,0.505,0.68,-3.423,0.0336,0.283,0.0,0.175,0.362,139.843,4
Nico And The Niners,twenty one pilots,5SehvGGC53A7SZKCLXQcyt,0.728,0.602,-7.748,0.185,0.0699,7.01e-06,0.318,0.328,140.081,4
The Gold,Manchester Orchestra,3EytfC22ikoXM921cJbejn,0.394,0.689,-6.648,0.0385,0.00119,0.0131,0.176,0.457,180.111,3
Happy Hour,Weezer,6ILpnOUHollfHp4xWH7nqV,0.641,0.889,-4.302,0.028,0.000283,0.000723,0.288,0.738,99.012,4
Four Out Of Five,Arctic Monkeys,3nhzPKCm2yqGmgEhdAg19u,0.601,0.863,-4.31,0.0685,0.0626,0.0,0.0717,0.676,130.189,4
Blood // Water,grandson,7clyJIrLkEbXUDwj1tC9zz,0.504,0.891,-5.632,0.137,0.00163,0.00199,0.148,0.628,153.988,4
Lash Out,Alice Merton,5F51taSDqgSZhhEEBZAsQT,0.744,0.77,-4.071,0.0531,0.0264,1.27e-05,0.133,0.901,128.005,4
Something Human,Muse,1esX5rtwwssnsEQNQk0HGg,0.59,0.903,-4.841,0.0542,0.0536,0.00289,0.12,0.545,105.018,4
Dance Macabre,Ghost,1E2WTcYLP1dFe1tiGDwRmT,0.619,0.696,-6.269,0.0315,1.89e-05,0.00555,0.38,0.727,125.986,4
Shame,Elle King,61eWyvx6fZ5xCG3mZpU858,0.656,0.935,-2.476,0.0461,0.0205,0.00075,0.0731,0.916,120.011,4
Do Your Worst,Rival Sons,1ZDq0oRT40CkuADdE4Jvrq,0.392,0.791,-2.785,0.0509,0.0113,1.43e-06,0.326,0.413,83.868,4
I Only Lie When I Love You,Royal Blood,1LbwMX3159t6QxG3u7DRWe,0.65,0.886,-4.821,0.0483,0.00111,0.000129,0.334,0.88,124.013,4
The Sky Is A Neighborhood,Foo Fighters,3kdMzXOcrDIdSWLdONHNK5,0.357,0.549,-7.843,0.0698,0.000798,0.00485,0.22,0.531,130.749,4
When the Seasons Change,Five Finger Death Punch,2xPWtgmqkjxDxfr3YKkXkq,0.497,0.894,-6.628,0.0307,0.0014,0.0,0.0754,0.545,156.074,4
Pressure,Muse,3eSyMBd7ERw68NVB3jlRmW,0.622,0.842,-3.678,0.0609,0.00342,0.00014,0.0575,0.724,136.041,4
Heroin,Badflower,0leJYiYyZE6jjXCEVYUQAm,0.503,0.709,-5.809,0.0431,0.204,0.00438,0.0675,0.12,143.113,4
Uncomfortable,Halestorm,6qKSmXS6AOmSFAnmSxkASx,0.533,0.976,-2.501,0.0814,0.00172,0.0,0.147,0.298,118.915,4
I Hope You're Happy,Blue October,2YJNoQKf1MPwlInwFPw28P,0.54,0.939,-1.712,0.0878,0.0222,9.66e-05,0.105,0.672,176.085,4
Worst Nites,Foster the People,1f4tvi37ABO60upCvtm5Cl,0.741,0.752,-4.968,0.0386,0.00834,0.00165,0.0438,0.609,114.02,4
Shelter,Broken Bells,5C5Fle0gDOcUchmj4RgVH5,0.466,0.857,-6.509,0.0375,0.00658,0.018,0.173,0.56,170.002,4
Fever Pitch,Rainbow Kitten Surprise,5vyt44455ipNNVSYq8fYY7,0.789,0.593,-7.877,0.0582,0.383,1.29e-06,0.191,0.293,109.952,4
Always Ascending,Franz Ferdinand,1by2yZWXqeTs4SRlBDsGov,0.442,0.92,-4.688,0.107,0.00196,3.64e-06,0.11,0.255,112.585,4
Scary Love,The Neighbourhood,6TA5aymvVrtiPVbuAwmPIc,0.595,0.636,-5.981,0.0312,9.45e-05,0.0529,0.196,0.147,112.008,4
Bohemian Rhapsody,Queen,6l8GvAyoUZwWDgF1e4822w,0.397,0.386,-10.405,0.0503,0.271,0.0,0.188,0.21,144.242,4
Torn in Two,Breaking Benjamin,3IiMnjK7S2PlsPVMuAH7rU,0.354,0.943,-3.633,0.288,0.000113,0.0187,0.104,0.367,94.416,4
One More Light,Linkin Park,3xXBsjrbG1xQIm1xv1cKOt,0.593,0.2,-11.063,0.0311,0.904,0.0,0.0897,0.17,83.966,4
"Hey Look Ma, I Made It",Panic! At The Disco,22oEJW6r2rMb9z4IntfyEa,0.577,0.833,-3.337,0.0695,0.0137,0.0,0.121,0.58,107.936,4
you should see me in a crown,Billie Eilish,3XF5xLJHOQQRbWya6hBp7d,0.678,0.533,-10.485,0.186,0.462,0.219,0.139,0.323,150.455,4
High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,4
Trampoline,Shaed,0lsRatBUs9HNIZAmoGABzk,0.689,0.412,-7.523,0.0301,0.488,0.00016,0.0659,0.537,126.754,4
